Respondent,OpenSource,Hobby,ConvertedSalary,CommunicationTools,LanguageWorkedWith,OperatingSystem,CompanySize,Country
Respondente_6245,Yes,Yes,418857.6,Slack,C,Windows,10 to 19 employees,China
Respondente_6246,Yes,Yes,0.0,Confluence,nan,,Fewer than 10 employees,India
Respondente_6247,Yes,Yes,78892.79999999999,Office / productivity suite ,C#,Windows,500 to 999 employees,India
Respondente_6248,No,Yes,358400.0,Confluence,Java,Windows,"1,000 to 4,999 employees",United States
Respondente_6249,Yes,Yes,13440.0,nan,C++,Windows,,United States
Respondente_6250,No,Yes,475999.99999999994,Confluence,Java,MacOS,100 to 499 employees,United States
Respondente_6251,Yes,Yes,452345.6,Google Hangouts/Chat,C#,Windows,100 to 499 employees,France
Respondente_6252,No,No,0.0,nan,nan,,,Canada
Respondente_6253,Yes,No,0.0,nan,nan,,,India
Respondente_6254,Yes,Yes,0.0,nan,Go,MacOS,100 to 499 employees,United States
Respondente_6255,No,Yes,414400.0,Office / productivity suite ,C#,Windows,Fewer than 10 employees,United States
Respondente_6256,Yes,Yes,134400.0,Office / productivity suite ,C,MacOS,Fewer than 10 employees,Albania
Respondente_6257,Yes,Yes,341600.0,nan,C++,Windows,"1,000 to 4,999 employees",United States
Respondente_6258,No,Yes,0.0,nan,nan,,,Indonesia
Respondente_6259,Yes,Yes,0.0,nan,Assembly,Linux-based,,Italy
Respondente_6260,No,Yes,685372.7999999999,Confluence,Assembly,MacOS,"10,000 or more employees",France
Respondente_6261,Yes,Yes,157180.8,Office / productivity suite ,JavaScript,MacOS,Fewer than 10 employees,Brazil
Respondente_6262,No,Yes,475999.99999999994,Confluence,Groovy,Windows,"5,000 to 9,999 employees",United States
Respondente_6263,Yes,Yes,308420.0,Confluence,Go,Linux-based,500 to 999 employees,Germany
Respondente_6264,Yes,No,37296.0,Slack,JavaScript,Windows,Fewer than 10 employees,"Iran, Islamic Republic of..."
Respondente_6265,Yes,Yes,29433.6,Jira,JavaScript,Linux-based,10 to 19 employees,India
Respondente_6266,Yes,Yes,117599.99999999999,Google Hangouts/Chat,C,MacOS,20 to 99 employees,Ecuador
Respondente_6267,Yes,Yes,180969.59999999998,Jira,Assembly,Linux-based,"1,000 to 4,999 employees",Romania
Respondente_6268,Yes,No,560000.0,Other chat system ,JavaScript,MacOS,"10,000 or more employees",United States
Respondente_6269,No,No,0.0,nan,C,,,Hungary
Respondente_6270,No,Yes,1540000.0,Jira,Groovy,Linux-based,"10,000 or more employees",United States
Respondente_6271,No,No,532000.0,Office / productivity suite ,JavaScript,Windows,100 to 499 employees,United States
Respondente_6272,Yes,Yes,0.0,nan,nan,,100 to 499 employees,United States
Respondente_6273,No,Yes,98784.0,Slack,C,Linux-based,"1,000 to 4,999 employees",Poland
Respondente_6274,Yes,Yes,57120.0,Jira,C,Windows,20 to 99 employees,Cambodia
Respondente_6275,Yes,Yes,541105.6,Office / productivity suite ,CoffeeScript,MacOS,"1,000 to 4,999 employees",Canada
Respondente_6276,No,Yes,0.0,nan,C,MacOS,,Canada
Respondente_6277,Yes,Yes,71500.79999999999,Confluence,C,Windows,100 to 499 employees,Mauritius
Respondente_6278,Yes,Yes,514029.6,Other chat system ,Assembly,Windows,,Germany
Respondente_6279,No,Yes,18547.199999999997,nan,JavaScript,Linux-based,Fewer than 10 employees,Philippines
Respondente_6280,No,Yes,381152.8,Confluence,JavaScript,MacOS,"10,000 or more employees",United Kingdom
Respondente_6281,Yes,Yes,23049.6,Slack,JavaScript,Windows,10 to 19 employees,Brazil
Respondente_6282,Yes,Yes,347205.6,Slack,C#,Windows,100 to 499 employees,Canada
Respondente_6283,Yes,Yes,16800.0,Other chat system ,C#,Windows,100 to 499 employees,India
Respondente_6284,Yes,Yes,461126.39999999997,Confluence,JavaScript,MacOS,10 to 19 employees,Sweden
Respondente_6285,Yes,Yes,98806.4,nan,C,Windows,,Poland
Respondente_6286,Yes,Yes,0.0,nan,Java,Windows,10 to 19 employees,India
Respondente_6287,No,No,672000.0,Confluence,Groovy,MacOS,10 to 19 employees,United States
Respondente_6288,Yes,No,0.0,nan,JavaScript,Windows,500 to 999 employees,Tunisia
Respondente_6289,Yes,Yes,427823.19999999995,HipChat,CoffeeScript,Linux-based,20 to 99 employees,United Kingdom
Respondente_6290,Yes,Yes,108259.2,Office / productivity suite ,C,Windows,10 to 19 employees,Mexico
Respondente_6291,Yes,Yes,498959.99999999994,Google Hangouts/Chat,C++,MacOS,20 to 99 employees,United States
Respondente_6292,No,Yes,0.0,nan,nan,,20 to 99 employees,Poland
Respondente_6293,Yes,Yes,148041.59999999998,Confluence,C++,Windows,20 to 99 employees,Cyprus
Respondente_6294,Yes,Yes,0.0,nan,Java,Windows,100 to 499 employees,Brazil
Respondente_6295,Yes,Yes,0.0,nan,C++,Windows,20 to 99 employees,Sri Lanka
Respondente_6296,No,Yes,205609.59999999998,Google Hangouts/Chat,Assembly,MacOS,10 to 19 employees,Hungary
Respondente_6297,Yes,Yes,541105.6,Office / productivity suite ,Erlang,MacOS,20 to 99 employees,Canada
Respondente_6298,Yes,Yes,626992.7999999999,Jira,Groovy,Windows,20 to 99 employees,Australia
Respondente_6299,Yes,No,520799.99999999994,Office / productivity suite ,C#,MacOS,"10,000 or more employees",United States
Respondente_6300,No,Yes,0.0,nan,nan,,,
Respondente_6301,Yes,No,0.0,nan,nan,,Fewer than 10 employees,China
Respondente_6302,No,Yes,230294.4,Confluence,C#,Windows,20 to 99 employees,Netherlands
Respondente_6303,No,No,22377.6,Slack,JavaScript,Windows,20 to 99 employees,Nigeria
Respondente_6304,No,Yes,33880.0,Confluence,C,Linux-based,Fewer than 10 employees,Canada
Respondente_6305,No,No,46636.799999999996,nan,C#,Windows,20 to 99 employees,"Iran, Islamic Republic of..."
Respondente_6306,Yes,Yes,11200000.0,Other chat system ,JavaScript,Windows,100 to 499 employees,United States
Respondente_6307,Yes,Yes,178197.59999999998,Google Hangouts/Chat,Assembly,Windows,20 to 99 employees,Spain
Respondente_6308,Yes,Yes,0.0,nan,C++,Windows,,Kenya
Respondente_6309,No,No,599200.0,nan,C,Windows,"10,000 or more employees",United States
Respondente_6310,No,Yes,0.0,nan,nan,,,Mexico
Respondente_6311,Yes,Yes,5600000.0,Confluence,C,Linux-based,"10,000 or more employees",France
Respondente_6312,Yes,Yes,279619.19999999995,Jira,Assembly,Windows,100 to 499 employees,Netherlands
Respondente_6313,No,Yes,0.0,Confluence,C++,Linux-based,"1,000 to 4,999 employees",China
Respondente_6314,No,Yes,22780.8,Slack,JavaScript,Windows,20 to 99 employees,Egypt
Respondente_6315,No,Yes,157634.4,nan,C#,Windows,10 to 19 employees,Spain
Respondente_6316,Yes,Yes,0.0,nan,nan,,20 to 99 employees,India
Respondente_6317,No,Yes,307708.8,HipChat,Java,Windows,,Sweden
Respondente_6318,Yes,Yes,411196.8,Confluence,C++,Linux-based,"1,000 to 4,999 employees",Germany
Respondente_6319,No,Yes,246489.59999999998,Confluence,C++,Linux-based,100 to 499 employees,Sweden
Respondente_6320,No,Yes,0.0,nan,C#,Windows,100 to 499 employees,India
Respondente_6321,Yes,Yes,412266.39999999997,Confluence,JavaScript,MacOS,Fewer than 10 employees,United Kingdom
Respondente_6322,No,Yes,582400.0,Jira,JavaScript,MacOS,20 to 99 employees,United States
Respondente_6323,Yes,No,0.0,nan,C,Windows,,"Congo, Republic of the..."
Respondente_6324,No,Yes,0.0,nan,C#,Windows,,Bolivia
Respondente_6325,Yes,Yes,388808.0,Google Hangouts/Chat,Java,Linux-based,"1,000 to 4,999 employees",New Zealand
Respondente_6326,No,No,178908.8,Facebook,C#,,100 to 499 employees,United Kingdom
Respondente_6327,No,Yes,397600.0,Confluence,Assembly,Windows,500 to 999 employees,United States
Respondente_6328,No,Yes,0.0,nan,C,Windows,,United States
Respondente_6329,Yes,Yes,459199.99999999994,Confluence,Python,Linux-based,"10,000 or more employees",Netherlands
Respondente_6330,Yes,Yes,256692.8,Google Hangouts/Chat,C#,Windows,20 to 99 employees,United Kingdom
Respondente_6331,Yes,No,0.0,nan,C++,Windows,,India
Respondente_6332,No,Yes,26297.6,Google Hangouts/Chat,C,Windows,10 to 19 employees,India
Respondente_6333,Yes,Yes,87662.4,Office / productivity suite ,Java,MacOS,10 to 19 employees,India
Respondente_6334,Yes,Yes,651100.7999999999,Confluence,C#,Windows,"1,000 to 4,999 employees",France
Respondente_6335,Yes,Yes,33667.2,Jira,Java,Windows,Fewer than 10 employees,India
Respondente_6336,No,Yes,0.0,nan,nan,,10 to 19 employees,Estonia
Respondente_6337,No,Yes,0.0,nan,nan,,,United States
Respondente_6338,Yes,Yes,67200.0,Facebook,Objective-C,MacOS,Fewer than 10 employees,India
Respondente_6339,Yes,Yes,164505.59999999998,Confluence,JavaScript,MacOS,100 to 499 employees,Portugal
Respondente_6340,No,Yes,98716.79999999999,Confluence,C#,Windows,100 to 499 employees,Romania
Respondente_6341,Yes,Yes,26275.199999999997,Jira,C,Windows,20 to 99 employees,India
Respondente_6342,Yes,Yes,0.0,Slack,JavaScript,MacOS,,South Africa
Respondente_6343,Yes,Yes,23144.8,Google Hangouts/Chat,Java,Linux-based,500 to 999 employees,India
Respondente_6344,No,No,12364.8,Facebook,Java,Linux-based,Fewer than 10 employees,Kyrgyzstan
Respondente_6345,Yes,Yes,0.0,Other chat system ,C,Windows,20 to 99 employees,India
Respondente_6346,No,No,0.0,nan,nan,,,Russian Federation
Respondente_6347,Yes,Yes,470.4,nan,C,Linux-based,,"Iran, Islamic Republic of..."
Respondente_6348,No,Yes,270552.8,nan,JavaScript,MacOS,,Canada
Respondente_6349,No,Yes,21235.199999999997,Jira,C#,Windows,20 to 99 employees,Pakistan
Respondente_6350,No,No,784000.0,Office / productivity suite ,Python,Linux-based,"5,000 to 9,999 employees",United States
Respondente_6351,No,Yes,1013599.9999999999,Office / productivity suite ,C++,Linux-based,"10,000 or more employees",United States
Respondente_6352,No,No,0.0,nan,nan,,,Russian Federation
Respondente_6353,Yes,No,0.0,nan,C,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_6354,No,Yes,37632.0,Facebook,Java,Windows,,Cameroon
Respondente_6355,Yes,Yes,197366.4,Office / productivity suite ,C#,Windows,10 to 19 employees,Croatia
Respondente_6356,Yes,No,56582.399999999994,Google Hangouts/Chat,Assembly,Linux-based,Fewer than 10 employees,Brazil
Respondente_6357,Yes,Yes,261799.99999999997,nan,JavaScript,MacOS,20 to 99 employees,China
Respondente_6358,Yes,Yes,0.0,nan,nan,,10 to 19 employees,United States
Respondente_6359,No,Yes,112840.0,Slack,C++,Linux-based,Fewer than 10 employees,Canada
Respondente_6360,Yes,Yes,5600000.0,Google Hangouts/Chat,JavaScript,MacOS,500 to 999 employees,Nigeria
Respondente_6361,No,No,588000.0,nan,JavaScript,Windows,20 to 99 employees,United States
Respondente_6362,No,Yes,0.0,nan,JavaScript,Linux-based,"5,000 to 9,999 employees",Sri Lanka
Respondente_6363,Yes,Yes,1007999.9999999999,Confluence,C++,Linux-based,"1,000 to 4,999 employees",United Kingdom
Respondente_6364,Yes,Yes,0.0,Facebook,JavaScript,Windows,,India
Respondente_6365,No,Yes,0.0,Google Hangouts/Chat,Java,Windows,100 to 499 employees,Hong Kong (S.A.R.)
Respondente_6366,No,Yes,739200.0,Slack,C#,MacOS,10 to 19 employees,United States
Respondente_6367,Yes,Yes,352800.0,Office / productivity suite ,Go,Windows,500 to 999 employees,United States
Respondente_6368,No,No,0.0,nan,nan,,20 to 99 employees,Kazakhstan
Respondente_6369,No,No,67676.0,Jira,SQL,Windows,,India
Respondente_6370,Yes,Yes,672000.0,Confluence,C#,MacOS,100 to 499 employees,United States
Respondente_6371,Yes,Yes,0.0,Facebook,C#,Windows,,Czech Republic
Respondente_6372,Yes,Yes,649600.0,Confluence,Groovy,Windows,500 to 999 employees,United States
Respondente_6373,Yes,Yes,448000.0,Slack,Assembly,MacOS,Fewer than 10 employees,United States
Respondente_6374,No,Yes,90384.0,Office / productivity suite ,Matlab,Windows,"1,000 to 4,999 employees",Russian Federation
Respondente_6375,No,Yes,280000.0,Confluence,Java,Windows,100 to 499 employees,United States
Respondente_6376,No,Yes,5600000.0,Office / productivity suite ,C#,Windows,10 to 19 employees,Canada
Respondente_6377,No,Yes,61364.799999999996,Office / productivity suite ,Java,Windows,100 to 499 employees,India
Respondente_6378,No,Yes,364000.0,Office / productivity suite ,Assembly,MacOS,10 to 19 employees,United States
Respondente_6379,Yes,Yes,0.0,nan,nan,,20 to 99 employees,Denmark
Respondente_6380,No,Yes,213427.19999999998,Confluence,Assembly,Windows,500 to 999 employees,Hungary
Respondente_6381,No,Yes,249916.8,Google Hangouts/Chat,PHP,Windows,,Serbia
Respondente_6382,No,Yes,368860.8,Jira,nan,,20 to 99 employees,Sweden
Respondente_6383,No,Yes,784000.0,Google Hangouts/Chat,C#,Linux-based,"10,000 or more employees",United States
Respondente_6384,No,Yes,1120000.0,Slack,Assembly,Linux-based,,United States
Respondente_6385,Yes,Yes,688128.0,Confluence,Groovy,Linux-based,100 to 499 employees,Israel
Respondente_6386,No,Yes,0.0,nan,Java,Windows,,Portugal
Respondente_6387,Yes,Yes,390661.6,Slack,C++,Windows,10 to 19 employees,Germany
Respondente_6388,No,Yes,0.0,nan,nan,,,France
Respondente_6389,No,Yes,0.0,Office / productivity suite ,JavaScript,MacOS,10 to 19 employees,Viet Nam
Respondente_6390,No,No,101068.79999999999,nan,C,Windows,,Russian Federation
Respondente_6391,Yes,Yes,0.0,Jira,JavaScript,Linux-based,20 to 99 employees,India
Respondente_6392,Yes,Yes,279619.19999999995,Confluence,Objective-C,MacOS,"10,000 or more employees",Czech Republic
Respondente_6393,Yes,Yes,363249.6,Confluence,C++,Windows,10 to 19 employees,France
Respondente_6394,Yes,Yes,287856.8,Confluence,C,MacOS,10 to 19 employees,Germany
Respondente_6395,Yes,Yes,309120.0,Other chat system ,C#,Windows,20 to 99 employees,Russian Federation
Respondente_6396,Yes,Yes,0.0,nan,nan,,,India
Respondente_6397,No,No,408800.0,Office / productivity suite ,SQL,Windows,500 to 999 employees,United States
Respondente_6398,No,No,3733766.4,Confluence,JavaScript,Windows,100 to 499 employees,United Kingdom
Respondente_6399,Yes,Yes,0.0,nan,C,Windows,,Poland
Respondente_6400,No,Yes,0.0,nan,Assembly,Linux-based,,Belgium
Respondente_6401,No,No,201628.0,Office / productivity suite ,nan,,"10,000 or more employees",India
Respondente_6402,No,No,383566.39999999997,Confluence,Go,Linux-based,"5,000 to 9,999 employees",Ireland
Respondente_6403,Yes,Yes,548296.0,Office / productivity suite ,C#,Windows,20 to 99 employees,Netherlands
Respondente_6404,No,Yes,26275.199999999997,Office / productivity suite ,C#,Windows,20 to 99 employees,India
Respondente_6405,No,Yes,315644.0,nan,C++,Windows,,Canada
Respondente_6406,No,Yes,137625.59999999998,Confluence,C#,Windows,100 to 499 employees,Israel
Respondente_6407,No,No,560000.0,Confluence,C#,Windows,100 to 499 employees,United States
Respondente_6408,No,Yes,276124.8,Facebook,C,Windows,20 to 99 employees,Denmark
Respondente_6409,Yes,Yes,1151404.7999999998,Other chat system ,C,MacOS,,Germany
Respondente_6410,No,Yes,3750364.8,Confluence,C++,Linux-based,500 to 999 employees,Finland
Respondente_6411,No,Yes,0.0,nan,C++,Linux-based,,Poland
Respondente_6412,No,Yes,175330.4,Slack,Java,MacOS,100 to 499 employees,India
Respondente_6413,No,No,0.0,nan,nan,,"1,000 to 4,999 employees",United States
Respondente_6414,No,No,225859.19999999998,Jira,C#,Windows,"1,000 to 4,999 employees",Russian Federation
Respondente_6415,No,No,52348.799999999996,Jira,C,Windows,20 to 99 employees,Malaysia
Respondente_6416,No,Yes,404661.6,Office / productivity suite ,C#,Windows,100 to 499 employees,Netherlands
Respondente_6417,No,Yes,0.0,nan,nan,,,Romania
Respondente_6418,No,Yes,770044.7999999999,nan,nan,,100 to 499 employees,India
Respondente_6419,Yes,Yes,32872.0,Office / productivity suite ,JavaScript,Linux-based,"5,000 to 9,999 employees",India
Respondente_6420,Yes,Yes,45091.2,nan,C#,Linux-based,,Canada
Respondente_6421,Yes,Yes,0.0,Slack,C,MacOS,10 to 19 employees,Canada
Respondente_6422,Yes,Yes,0.0,Confluence,CoffeeScript,Linux-based,100 to 499 employees,South Africa
Respondente_6423,No,Yes,616.0,Confluence,C#,Windows,100 to 499 employees,Other Country (Not Listed Above)
Respondente_6424,Yes,Yes,0.0,Slack,C#,Linux-based,,Slovakia
Respondente_6425,No,No,393187.19999999995,Office / productivity suite ,C#,Windows,10 to 19 employees,Israel
Respondente_6426,Yes,Yes,923999.9999999999,Facebook,C++,Linux-based,"10,000 or more employees",United States
Respondente_6427,Yes,Yes,237484.8,Facebook,C#,Windows,Fewer than 10 employees,Denmark
Respondente_6428,No,Yes,464183.99999999994,Facebook,JavaScript,MacOS,,Norway
Respondente_6429,No,Yes,0.0,nan,Java,,,United Kingdom
Respondente_6430,Yes,Yes,784000.0,Confluence,C#,Linux-based,20 to 99 employees,United States
Respondente_6431,Yes,Yes,28291.199999999997,Facebook,C#,Windows,10 to 19 employees,Bangladesh
Respondente_6432,No,Yes,82252.79999999999,Jira,JavaScript,Linux-based,20 to 99 employees,Czech Republic
Respondente_6433,No,No,0.0,nan,JavaScript,Linux-based,,France
Respondente_6434,No,Yes,329011.19999999995,Confluence,Assembly,Windows,20 to 99 employees,Germany
Respondente_6435,No,Yes,443380.0,Confluence,C#,Windows,20 to 99 employees,United Kingdom
Respondente_6436,Yes,Yes,161683.19999999998,Confluence,C,MacOS,"10,000 or more employees",Russian Federation
Respondente_6437,Yes,Yes,0.0,nan,C,Windows,"5,000 to 9,999 employees",Morocco
Respondente_6438,No,No,349540.8,Google Hangouts/Chat,C++,Windows,20 to 99 employees,France
Respondente_6439,Yes,Yes,599866.3999999999,Office / productivity suite ,nan,,20 to 99 employees,Norway
Respondente_6440,Yes,Yes,392000.0,Jira,Python,Windows,500 to 999 employees,Czech Republic
Respondente_6441,No,Yes,95995.2,nan,C,Windows,Fewer than 10 employees,China
Respondente_6442,Yes,Yes,628790.3999999999,nan,C++,MacOS,100 to 499 employees,Brazil
Respondente_6443,No,Yes,540612.7999999999,Confluence,Java,Windows,"10,000 or more employees",United Kingdom
Respondente_6444,Yes,Yes,272249.6,Jira,CoffeeScript,MacOS,10 to 19 employees,United Kingdom
Respondente_6445,Yes,Yes,336.0,nan,JavaScript,Linux-based,,United States
Respondente_6446,No,No,392000.0,Jira,JavaScript,MacOS,"1,000 to 4,999 employees",United States
Respondente_6447,Yes,Yes,1959999.9999999998,Facebook,C,Linux-based,"10,000 or more employees",United States
Respondente_6448,No,Yes,113534.4,Confluence,Java,Windows,100 to 499 employees,Brazil
Respondente_6449,No,Yes,0.0,nan,nan,,100 to 499 employees,France
Respondente_6450,Yes,Yes,0.0,nan,nan,,20 to 99 employees,India
Respondente_6451,Yes,Yes,0.0,nan,nan,,,United States
Respondente_6452,Yes,Yes,0.0,nan,nan,,10 to 19 employees,India
Respondente_6453,No,No,61364.799999999996,nan,Assembly,Linux-based,,India
Respondente_6454,Yes,Yes,411196.8,Google Hangouts/Chat,C,MacOS,,Italy
Respondente_6455,No,Yes,0.0,nan,nan,,"10,000 or more employees",India
Respondente_6456,No,Yes,0.0,Confluence,C#,Windows,100 to 499 employees,United States
Respondente_6457,No,Yes,0.0,nan,nan,,,Viet Nam
Respondente_6458,Yes,Yes,285600.0,Slack,C++,Windows,100 to 499 employees,United States
Respondente_6459,No,Yes,330400.0,Jira,C,Linux-based,500 to 999 employees,United States
Respondente_6460,Yes,Yes,287884.8,Confluence,Ruby,MacOS,100 to 499 employees,Austria
Respondente_6461,Yes,Yes,644000.0,Google Hangouts/Chat,JavaScript,Linux-based,"10,000 or more employees",United States
Respondente_6462,No,Yes,0.0,nan,C,MacOS,,Canada
Respondente_6463,No,Yes,616000.0,nan,C#,Windows,,United States
Respondente_6464,Yes,Yes,142665.59999999998,Confluence,Java,Linux-based,"10,000 or more employees",Russian Federation
Respondente_6465,No,Yes,5600000.0,Confluence,JavaScript,MacOS,"1,000 to 4,999 employees",New Zealand
Respondente_6466,Yes,No,0.0,nan,nan,,,
Respondente_6467,Yes,Yes,113500.79999999999,Slack,Go,Linux-based,Fewer than 10 employees,Czech Republic
Respondente_6468,No,No,172368.0,Jira,JavaScript,Windows,100 to 499 employees,Russian Federation
Respondente_6469,No,Yes,259055.99999999997,Confluence,Java,MacOS,20 to 99 employees,Netherlands
Respondente_6470,Yes,Yes,336000.0,Jira,JavaScript,MacOS,10 to 19 employees,United States
Respondente_6471,No,Yes,98784.0,Slack,CoffeeScript,Linux-based,10 to 19 employees,Poland
Respondente_6472,No,Yes,172704.0,Office / productivity suite ,C#,Windows,Fewer than 10 employees,Germany
Respondente_6473,No,Yes,560000.0,Office / productivity suite ,Java,Linux-based,,United States
Respondente_6474,No,Yes,0.0,Confluence,JavaScript,Windows,"1,000 to 4,999 employees",Japan
Respondente_6475,Yes,Yes,475999.99999999994,Office / productivity suite ,Java,Linux-based,"1,000 to 4,999 employees",United States
Respondente_6476,No,Yes,45561.6,Office / productivity suite ,JavaScript,Linux-based,Fewer than 10 employees,Taiwan
Respondente_6477,Yes,Yes,0.0,nan,Assembly,Windows,,United States
Respondente_6478,Yes,Yes,475999.99999999994,Confluence,Java,MacOS,"1,000 to 4,999 employees",United States
Respondente_6479,No,Yes,342686.39999999997,Office / productivity suite ,C++,Windows,500 to 999 employees,Germany
Respondente_6480,No,Yes,134400.0,Google Hangouts/Chat,C#,Windows,20 to 99 employees,Argentina
Respondente_6481,Yes,Yes,0.0,nan,C++,Linux-based,,India
Respondente_6482,No,Yes,344848.0,Facebook,JavaScript,MacOS,10 to 19 employees,Australia
Respondente_6483,Yes,Yes,812000.0,Confluence,C#,MacOS,500 to 999 employees,United States
Respondente_6484,No,Yes,393120.0,Slack,JavaScript,MacOS,,Brazil
Respondente_6485,No,Yes,0.0,nan,nan,,20 to 99 employees,Germany
Respondente_6486,No,No,0.0,nan,nan,,"10,000 or more employees",Russian Federation
Respondente_6487,Yes,Yes,563651.2,Confluence,Python,MacOS,100 to 499 employees,Canada
Respondente_6488,No,Yes,121363.2,Confluence,Java,MacOS,20 to 99 employees,United Kingdom
Respondente_6489,Yes,Yes,0.0,nan,nan,,20 to 99 employees,India
Respondente_6490,Yes,Yes,222028.8,Confluence,C,Windows,100 to 499 employees,Chile
Respondente_6491,Yes,Yes,999398.3999999999,nan,Java,Linux-based,500 to 999 employees,India
Respondente_6492,No,Yes,0.0,nan,nan,,100 to 499 employees,Italy
Respondente_6493,No,Yes,222028.8,nan,Java,Windows,Fewer than 10 employees,Netherlands
Respondente_6494,Yes,Yes,6160.0,Slack,C++,Windows,,Nigeria
Respondente_6495,Yes,Yes,67200.0,Slack,Ruby,Linux-based,500 to 999 employees,Bangladesh
Respondente_6496,No,Yes,0.0,nan,JavaScript,Linux-based,Fewer than 10 employees,"Iran, Islamic Republic of..."
Respondente_6497,Yes,Yes,95200.0,Slack,C++,MacOS,10 to 19 employees,United States
Respondente_6498,No,Yes,0.0,Office / productivity suite ,C++,Windows,"1,000 to 4,999 employees",Australia
Respondente_6499,Yes,Yes,150780.0,Facebook,Assembly,MacOS,,Spain
Respondente_6500,Yes,Yes,0.0,Slack,C#,Windows,20 to 99 employees,Spain
Respondente_6501,No,Yes,492799.99999999994,Jira,Java,Windows,100 to 499 employees,United States
Respondente_6502,Yes,Yes,817600.0,Other chat system ,Assembly,Linux-based,"10,000 or more employees",United States
Respondente_6503,Yes,No,411224.8,Confluence,Groovy,Linux-based,100 to 499 employees,Germany
Respondente_6504,No,Yes,0.0,nan,Assembly,Linux-based,,India
Respondente_6505,Yes,Yes,415335.19999999995,Jira,Java,MacOS,Fewer than 10 employees,South Africa
Respondente_6506,Yes,Yes,378336.0,Confluence,C#,Windows,20 to 99 employees,Finland
Respondente_6507,No,Yes,420000.0,Jira,JavaScript,Windows,500 to 999 employees,United States
Respondente_6508,No,Yes,0.0,nan,C++,Windows,,India
Respondente_6509,No,Yes,210022.4,Slack,C#,Windows,20 to 99 employees,United Kingdom
Respondente_6510,No,No,164505.59999999998,Confluence,C#,Windows,,Italy
Respondente_6511,No,Yes,0.0,nan,Assembly,Linux-based,100 to 499 employees,India
Respondente_6512,No,Yes,205609.59999999998,Confluence,C++,Windows,"10,000 or more employees",Spain
Respondente_6513,No,Yes,756000.0,Confluence,C++,Linux-based,20 to 99 employees,United States
Respondente_6514,No,Yes,308000.0,Office / productivity suite ,JavaScript,Windows,10 to 19 employees,United States
Respondente_6515,Yes,Yes,812000.0,Jira,Java,MacOS,500 to 999 employees,United States
Respondente_6516,No,Yes,392000.0,Slack,C#,Windows,,United States
Respondente_6517,Yes,Yes,123759.99999999999,Confluence,C,Linux-based,,Russian Federation
Respondente_6518,No,Yes,11200000.0,Confluence,Go,MacOS,"10,000 or more employees",United States
Respondente_6519,Yes,Yes,1120000.0,Confluence,C++,MacOS,500 to 999 employees,United States
Respondente_6520,No,Yes,178908.8,Confluence,C#,Windows,100 to 499 employees,United Kingdom
Respondente_6521,No,No,326704.0,Confluence,C#,Windows,20 to 99 employees,United Kingdom
Respondente_6522,No,Yes,1400000.0,Office / productivity suite ,C#,Windows,,United States
Respondente_6523,Yes,No,1344000.0,Confluence,Assembly,Windows,,United States
Respondente_6524,Yes,Yes,420000.0,Confluence,Java,MacOS,100 to 499 employees,United States
Respondente_6525,Yes,Yes,96432.0,Slack,Java,MacOS,20 to 99 employees,India
Respondente_6526,No,Yes,335932.8,Jira,C++,MacOS,100 to 499 employees,Poland
Respondente_6527,Yes,Yes,420089.6,Slack,Assembly,MacOS,100 to 499 employees,Brazil
Respondente_6528,No,Yes,52600.799999999996,Office / productivity suite ,Java,Linux-based,"10,000 or more employees",India
Respondente_6529,No,Yes,0.0,nan,Java,Windows,,United Kingdom
Respondente_6530,No,Yes,315644.0,Confluence,Java,Windows,"1,000 to 4,999 employees",Canada
Respondente_6531,No,Yes,492799.99999999994,Confluence,Java,MacOS,500 to 999 employees,United States
Respondente_6532,No,Yes,0.0,Facebook,Assembly,Windows,20 to 99 employees,India
Respondente_6533,Yes,Yes,0.0,nan,JavaScript,Linux-based,10 to 19 employees,Spain
Respondente_6534,No,Yes,0.0,Jira,C,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_6535,Yes,Yes,54353.6,Office / productivity suite ,Java,Windows,100 to 499 employees,India
Respondente_6536,Yes,Yes,237753.59999999998,Office / productivity suite ,C#,Windows,100 to 499 employees,Russian Federation
Respondente_6537,Yes,Yes,0.0,nan,Java,Windows,20 to 99 employees,India
Respondente_6538,Yes,No,411224.8,nan,C++,Windows,10 to 19 employees,Germany
Respondente_6539,No,Yes,225400.0,Confluence,Assembly,Windows,20 to 99 employees,Canada
Respondente_6540,Yes,Yes,0.0,Slack,C#,MacOS,20 to 99 employees,France
Respondente_6541,No,Yes,700000.0,Trello,C#,Windows,,United States
Respondente_6542,No,Yes,0.0,nan,C,Windows,"5,000 to 9,999 employees",India
Respondente_6543,Yes,Yes,0.0,nan,VBA,Windows,,India
Respondente_6544,Yes,Yes,672000.0,Google Hangouts/Chat,Erlang,MacOS,10 to 19 employees,United States
Respondente_6545,Yes,Yes,811652.7999999999,Confluence,C,MacOS,100 to 499 employees,Canada
Respondente_6546,Yes,Yes,711200.0,Jira,JavaScript,MacOS,100 to 499 employees,United States
Respondente_6547,Yes,Yes,0.0,Google Hangouts/Chat,Java,Windows,"10,000 or more employees",India
Respondente_6548,Yes,Yes,390661.6,Slack,Go,MacOS,10 to 19 employees,Germany
Respondente_6549,No,Yes,113500.79999999999,Other chat system ,C++,Windows,100 to 499 employees,Czech Republic
